Word,Meaning,Part of Speech
Abate,"to become less strong, or to make something less strong",v.
Abstract,"existing as an idea, feeling, or quality, not as a material object",adj.
Abysmal,very bad,adj.
Adversarial,involving opposition or disagreement,adj.
Agitate,"to argue energetically, esp. in public, in order to achieve a particular type of change",v.
Benevolent,kind and helpful,adj.
Beguile,"to charm, attract, or interest, sometimes in order to deceive",v.
Bereft,having to do without something or someone and suffering from the loss,adj.
Blandishments,pleasant words or actions used in order to persuade someone to do something,n.
Bilk,to get money from someone unfairly or dishonestly,v.
Cajole,"to persuade someone to do something they might not want to do, by pleasant talk and (sometimes false) promises",v.
Callous,"unkind, cruel, and without sympathy or feeling for other people",adj.
Calumny,(the act of making) a statement about someone that is not true and is intended to damage the reputation of that person,n.
Camaraderie,a feeling of friendliness towards people that you work or share an experience with,n.
Congruity,"the quality of being the same as, or in agreement with, other facts or principles",n.
Dearth,an amount of something that is too small: a lack,n.
Debauch,to destroy or damage something so that it is no longer considered good or moral,v.
Demagogue,"a person, esp. a political leader, who wins support by exciting people's emotions rather than giving them reasons",n.
Denigrate,to say that someone or something is not good or important,v.
Diaphanous,"A diaphanous substance, especially cloth, is so delicate and thin that you can see through it",adj.
Eclectic,"consisting of different types, methods, styles, etc.",adj.
Ebullient,excited and enthusiastic,adj.
Egregious,(of something bad) extreme; beyond any reasonable degree,adj.
Embezzlement,the crime of secretly taking money that is in your care or that belongs to an organization or business you work for,n.
Emollient,a cream or liquid that makes dry or sore skin softer or less painful,n.
Flagrant,shocking because of being so bad and so obvious,adj.
Forbearance,the quality of being patient and being able to forgive someone or control yourself in a difficult situation,n.
Fortuitous,(esp. of something to your advantage) happening by chance,adj.
Fractious,"tending to argue, fight, or complain, and hard to control",adj.
Fetter,to keep someone within limits or stop them from making progress,v.
Garrulous,"having the habit of talking a lot, esp. about unimportant things",adj.
Gourmand,a person who enjoys eating large amounts of food,n.
Grandiloquent,A grandiloquent style or way of using language is complicated in order to attract admiration and attention,adj.
Gratuitous,not necessary; with no reasonable cause,adj.
Goulash,a dish originally from Hungary consisting of meat cooked in a sauce with vegetables and paprika,n.
Hegemony,(especially of countries) the position of being the strongest and most powerful and therefore able to control others,n.
Heterogeneous,consisting of different parts or types,adj.
Hapless,unlucky,adj.
Hoard,"to collect a large supply of something, more than you need now, often because you think you will not be able to get it later",v.
Hokey,too emotional or artificial to be believed,adj.
Idiosyncratic,"having strange or unusual habits, ways of behaving, or features",adj.
Impecunious,having very little money,adj.
Inchoate,"only recently or partly formed, or not completely developed or clear",adj.
Incumbent,officially having the named position,adj.
Intransigent,refusing to change your opinions or behavior,adj.
Jubilant,"feeling or expressing great happiness, especially because of a success",adj.
Jacaranda,any of a genus of tropical American trees with attractive usually purple flowers,n.
Jumbotron,a very large video screen like those used in sports stadiums,n.
Jabber,to speak or say something quickly in a way that is difficult to understand,v.
Juxtapose,to put things that are not similar next to each other,v.
Kibosh,to spoil or destroy an idea or plan,n.
Keloid,a scar that grows bigger and more lumpy than the wound it is healing,n.
Knell,the sound of a bell rang slowly to announce a death,n.
Kleptomania,"a very strong wish to steal that you cannot control, especially without any need or purpose, usually considered to be a type of mental illness",n.
Knave,a dishonest man,n.
Laconic,using very few words to express what you mean,adj.
Largesse,"willingness to give money, or money given to poor people by rich people",n.
Legerdemain,skillful hiding of the truth in order to trick people,n.
Licentious,(especially of a person or their behavior) sexual in an uncontrolled and socially unacceptable way,adj.
Linchpin,"the most important member of a group or part of a system, that holds together the other members or parts or makes it possible for them to operate as intended",n.
Maelstrom,"a situation in which there is great confusion, violence, and destruction",n.
Maudlin,"feeling sad and sorry for yourself, especially after you have drunk a lot of alcohol",adj.
Mawkish,showing emotion or love in an awkward or silly way,adj.
Maverick,"a person who thinks and acts in an independent way, often behaving differently from the expected or usual way",n.
Mendacious,not telling the truth,adj.
Negligent,not being careful or giving enough attention to people or things that are your responsibility,adj.
Nadir,"the worst moment, or the moment of least hope and least achievement",n.
Neophyte,someone who has recently become involved in an activity and is still learning about it,n.
Noisome,very unpleasant and offensive,adj.
Noxious,"Something, especially a gas or other substance, that is noxious is poisonous or very harmful",adj.
Obdurate,extremely determined to act in a particular way and not to change despite what anyone else says,adj.
Obfuscate,"to make something less clear and harder to understand, especially intentionally",v.
Obstreperous,difficult to deal with and noisy,adj.
Officious,too eager to tell people what to do and having too high an opinion of your own importance,adj.
Ostensible,appearing or claiming to be one thing when it is really something else,adj.
Palliate,to reduce the bad effects of something,v.
Paradigm,"a model of something, or a very clear and typical example of something",n.
Pariah,"a person who is not accepted by a social group, especially because they are not liked, respected, or trusted",n.
Paucity,the fact that there is too little of something,n.
Pejorative,expressing disapproval or suggesting that something is not good or is of no importance,adj.
Quaint,attractive because of being unusual and especially old-fashioned,adj.
Quixotic,having or showing ideas that are different and unusual but not practical or likely to succeed,adj.
Quandary,a state of not being able to decide what to do about a situation in which you are involved,n.
Quibble,"to argue about, or say you disapprove of, something that is not important",v.
Quiescence,the state of being temporarily quiet and not active,n.
Recalcitrant,(of a person) unwilling to obey orders or to do what should be done,adj.
Redoubtable,"very strong, especially in character; producing respect and a little fear in others",adj.
Relegate,to put someone or something into a lower or less important rank or position,v.
Reprieve,"an official order that stops or delays the punishment, especially by death, of a prisoner",n.
Rescind,"to make a law, agreement, order, or decision no longer have any (legal) power",v.
Sanctimonious,acting as if morally better than others,adj.
Sanguine,(of someone or someone's character) positive and hoping for good things,adj.
Scurrilous,expressing unfair or false criticism that is likely to damage someone's reputation,adj.
Serendipity,the fact of finding interesting or valuable things by chance,n.
Sobriety,the state of being sober,n.
Tangential,of or along a tangent,adj.
Torpid,"not active; moving or thinking slowly, especially as a result of being lazy or feeling that you want to sleep",adj.
Trenchant,"severe, expressing strong criticism or forceful opinions",adj.
Trite,expressed too often to be interesting or seem sincere,adj.
Truculent,unpleasant and likely to argue a lot,adj.
Ubiquitous,seeming to be everywhere,adj.
Umbrage,"to feel upset or annoyed, usually because you feel that someone has been rude or shown no respect to you",n.
Upbraid,to forcefully or angrily tell someone they should not have done a particular thing and criticize them for having done it,v.
Utilitarian,designed to be useful rather than decorative,adj.
Uberize,"to change the market for a service by introducing a different way of buying or using it, especially using mobile technology",v.
Veracity,"the quality of being true, honest, or accurate",n.
Vestige,"a small part or amount of something larger, stronger, or more important that still exists from something that existed in the past",n.
Vicissitudes,changes that happen at different times during the life or development of someone or something,n.
Vilify,"to say or write unpleasant things about someone or something, in order to cause other people to have a bad opinion of them",v.
Virtuoso,"a person who is extremely skilled at something, especially at playing an instrument or performing",n.
Wanton,(of something bad) extreme and showing no care at all,adj.
Winsome,"attractive and pleasing, with simple qualities, sometimes like those a child has",adj.
Wily,(of a person) intelligent and often willing to use tricks to achieve an aim,adj.
Wodge,a thick piece or a large amount of something,n.
Wuthering,used to describe a wind that is blowing very strongly or a place where the wind blows strongly,adj.
Yodel,to sing by making a series of very fast changes between the natural voice and a much higher voice,v.
Yore,of a long time ago,n.
Yack,"to talk continuously, especially informally about things that are not very important",v.
Yomp,"(often of soldiers) to walk quickly and energetically, usually while carrying a lot of equipment",v.
Yokel,a stupid or awkward person who lives in the countryside rather than a town,n.
Zealot,"a person who has very strong opinions about something, and tries to make other people have them too",n.
Zephyr,a light wind,n.
Zap,"to get rid of or kill something or someone, especially intentionally",v.
Zeal,great enthusiasm or eagerness,n.
Zenith,the highest point reached by a heavenly body as it travels around another body,n.